11/11/2013 9:11:00 AM	36	[35.47, 45.33, 22.64, 0.22, 1031.0, 50.06, 6.92]	[980.80478, 524.16667, 118.28627, 0.7284, 0.0, 7.8858, 0.24306]
11/11/2013 3:14:00 PM	36	[38.75, 39.89, 15.86, 13.0, 1026.06, 12.0, 8.06]	[360.35417, 317.04321, 72.84182, 0.0, 0.05247, 0.0, 0.99691]
11/11/2013 6:09:00 PM	36	[59.58, 60.39, 22.86, 10.06, 1024.0, 16.94, 11.0]	[200.07639, 67.95988, 75.45293, 0.05247, 0.0, 0.05247, 0.0]
11/11/2013 7:09:00 PM	36	[73.94, 68.86, 30.92, 7.19, 1024.92, 22.67, 4.36]	[262.33025, 124.73071, 117.29861, 0.43441, 0.07639, 1.38889, 1.73071]
11/11/2013 10:11:00 PM	36	[105.31, 83.19, 32.78, 2.0, 1025.0, 48.22, 2.11]	[440.65664, 186.43441, 95.2284, 0.0, 0.0, 0.83951, 0.20988]
11/12/2013 7:09:00 AM	36	[110.53, 79.92, 30.39, -1.72, 1025.0, 68.17, 7.11]	[1915.08256, 680.57639, 97.40432, 0.42284, 0.0, 3.47222, 0.20988]
11/12/2013 8:10:00 AM	36	[96.75, 72.83, 29.81, 0.94, 1026.0, 56.44, 7.11]	[1651.29861, 473.91667, 105.43441, 0.05247, 0.0, 3.35802, 0.20988]
11/12/2013 9:13:00 AM	36	[91.78, 73.97, 29.64, 3.78, 1026.0, 49.83, 4.28]	[1659.67284, 771.74923, 123.78627, 0.83951, 0.0, 11.80556, 1.31173]
11/12/2013 10:11:00 AM	36	[90.69, 72.44, 30.0, 7.44, 1026.0, 35.67, 5.67]	[1788.54552, 700.35802, 130.05556, 0.24691, 0.0, 2.22222, 2.22222]
11/12/2013 11:16:00 AM	36	[74.89, 60.86, 28.28, 10.03, 1026.97, 27.83, 4.0]	[1638.37654, 540.00849, 146.53395, 0.19367, 0.02701, 2.30556, 0.0]
11/12/2013 12:09:00 PM	36	[49.72, 47.78, 20.86, 12.03, 1026.92, 22.22, 6.5]	[690.25617, 406.45062, 125.45293, 0.58256, 0.07639, 2.39506, 1.25]
11/12/2013 1:21:00 PM	36	[32.44, 35.25, 14.61, 14.72, 1025.14, 17.53, 4.17]	[644.08025, 341.29861, 83.29321, 0.86728, 0.34182, 2.58256, 0.47222]
11/12/2013 2:16:00 PM	36	[26.31, 27.11, 13.25, 15.78, 1024.14, 16.42, 4.08]	[491.87886, 322.87654, 70.29861, 0.50617, 0.28627, 1.40972, 0.24306]
11/12/2013 3:14:00 PM	36	[25.5, 22.17, 13.36, 15.06, 1023.25, 17.11, 4.08]	[438.91667, 194.52778, 67.56404, 0.3858, 0.52083, 0.70988, 0.24306]
11/12/2013 4:12:00 PM	36	[24.28, 26.31, 15.53, 15.31, 1023.03, 18.36, 6.08]	[263.9784, 373.04552, 99.30478, 0.21219, 0.02701, 0.95293, 1.90972]
11/12/2013 5:10:00 PM	36	[30.25, 28.58, 17.64, 14.33, 1023.0, 18.33, 2.67]	[411.13194, 299.13194, 135.17515, 0.22222, 0.0, 0.22222, 0.88889]
11/12/2013 6:09:00 PM	36	[36.39, 38.0, 24.0, 10.72, 1023.0, 25.11, 2.0]	[484.12654, 331.72222, 137.22222, 0.4784, 0.0, 7.65432, 0.0]
11/12/2013 8:08:00 PM	36	[74.64, 73.94, 37.19, 7.06, 1023.92, 42.56, 3.83]	[1310.89738, 1170.60802, 205.48997, 0.05247, 0.07639, 2.24691, 0.30556]
11/12/2013 9:09:00 PM	36	[94.83, 77.69, 38.72, 7.47, 1023.97, 35.81, 5.36]	[1986.86111, 886.65664, 169.75617, 0.24923, 0.02701, 3.93441, 2.50849]
11/12/2013 10:09:00 PM	36	[105.58, 77.31, 38.08, 7.92, 1024.83, 36.75, 4.17]	[1876.24306, 533.54552, 128.52083, 0.07639, 0.13889, 2.1875, 0.47222]
11/13/2013 6:09:00 AM	36	[132.81, 90.94, 32.92, 2.81, 1023.0, 70.42, 2.0]	[1896.15664, 5042.77469, 92.40972, 0.3233, 0.0, 1.90972, 0.0]
11/13/2013 7:12:00 AM	36	[134.89, 82.72, 32.83, 1.11, 1023.0, 74.58, 2.0]	[1573.32099, 697.86728, 109.80556, 0.15432, 0.0, 1.90972, 0.0]
11/13/2013 8:10:00 AM	36	[139.06, 86.0, 34.53, 1.97, 1023.0, 75.0, 2.0]	[1560.99691, 489.22222, 102.74923, 0.02701, 0.0, 0.0, 0.0]
